НТО ул. Авиационная, вл.68; Авиационная улица, дом 68; Северо-Западный административный округ; район Щукино; Компания ФРЕГАТ; 55.8097215134657; 37.4562557224584
НТО Зеленодольская ул., вл. 39; внутригородская территория муниципальный округ Кузьминки, Зеленодольская улица, дом 39; Юго-Восточный административный округ; район Кузьминки; У Метро; 55.7043003443141; 37.7667704936223
НТО Зеленый просп., вл. 27 корп.1; внутригородская территория муниципальный округ Перово, Зелёный проспект, дом 27, корпус 1; Восточный административный округ; район Перово; Московская окраина; 55.75183389923; 37.7884697845046
НТО Зеленый просп., вл.60дробь35 стр.1; внутригородская территория муниципальный округ Новогиреево, Зелёный проспект, дом 60/35; Восточный административный округ; район Новогиреево; Московская окраина; 55.751274605337; 37.8175756785829
НТО Зеленый проспект, вл. 52 стр. 1; внутригородская территория муниципальный округ Новогиреево, Зелёный проспект, дом 52, корпус 1; Восточный административный округ; район Новогиреево; ИНВЕСТ ГРУПП; 55.7521076156607; 37.8122065485694
НТО Зеленый просп., вл.77, корп.1; внутригородская территория муниципальный округ Новогиреево, Зелёный проспект, дом 77, корпус 1; Восточный административный округ; район Новогиреево; АЛФАВИТ; 55.7521232276872; 37.8155617508603
НТО Знаменская ул., вл. 16; Знаменская улица, дом 8; Восточный административный округ; район Преображенское; У Метро; 55.8020111942614; 37.715923795951
НТО Зубовский бульвар , 13; внутригородская территория муниципальный округ Хамовники, Зубовский бульвар, дом 13, строение 1; Центральный административный округ; район Хамовники; У Метро; 55.7354637715302; 37.5928071034939
НТО Игральная ул., вл.10; внутригородская территория муниципальный округ Богородское, Игральная улица, дом 10; Восточный административный округ; район Богородское; У Метро; 55.8161817992459; 37.7154402837614
НТО Измайловский бульв., вл.47дробь36; Измайловский бульвар, дом 47; Восточный административный округ; район Измайлово; У Метро; 55.7975818025276; 37.7993366334673
НТО Измайловский проспект, вл.61; Измайловский проспект, дом 61; Восточный административный округ; район Измайлово; АЛФАВИТ; 55.7879425474488; 37.7836649603363
НТО Измайловский просп., вл. 63; Измайловский проспект, дом 61; Восточный административный округ; район Измайлово; АРЕАЛ; 55.7885151186957; 37.7845681673016
НТО Ул. Инженерная, 9; Инженерная улица, дом 9; Северо-Восточный административный округ; Алтуфьевский район; АРЕАЛ; 55.8797828746905; 37.5758159079058
НТО Инициативная ул., д. 7; внутригородская территория муниципальный округ Фили-Давыдково, Инициативная улица, дом 7, корпус 2; Западный административный округ; район Фили-Давыдково; Сейлс; 55.7158916852833; 37.4553764195739
НТО Авиамоторная ул., 22дробь18; внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 22/12; Юго-Восточный административный округ; район Лефортово; Антарес; 55.7506861844393; 37.7174963517715
НТО Б. Каменщики, вл.6; внутригородская территория муниципальный округ Таганский, улица Большие Каменщики, дом 6, строение 1; Центральный административный округ; Таганский район; Амо-пресс; 55.7357395929447; 37.6558470069589
НТО Кантемировская ул., вл. 7; внутригородская территория муниципальный округ Царицыно, Кантемировская улица, дом 7; Южный административный округ; район Царицыно; СТМ МАРКЕТ-ПЛЮС; 55.6361702808987; 37.672393629582
НТО Капотня, 2-й квартал 1; внутригородская территория муниципальный округ Капотня, 2-й квартал Капотня, дом 1; Юго-Восточный административный округ; район Капотня; МЕДИА-СЕЛЕКТ; 55.6395925588616; 37.7969818629597
НТО 4-ый квартал Капотни, вл.3; внутригородская территория муниципальный округ Капотня, 4-й квартал Капотня, дом 3; Юго-Восточный административный округ; район Капотня; У Метро; 55.6363639721653; 37.7934830270379
НТО Капотня, 3-й квартал, вл. 13; внутригородская территория муниципальный округ Капотня, 3-й квартал Капотня, дом 13; Юго-Восточный административный округ; район Капотня; У Метро; 55.6353302364892; 37.7954454041965
НТО 5-й кв. Капотни, вл. 24; внутригородская территория муниципальный округ Капотня, 5-й квартал Капотня, дом 24; Юго-Восточный административный округ; район Капотня; У Метро; 55.6308489161678; 37.7974754740124
НТО Карамзина проезд, д.9; внутригородская территория муниципальный округ Ясенево, проезд Карамзина, дом 9, корпус 1; Юго-Западный административный округ; район Ясенево; Антарес; 55.5905445957271; 37.5391874045259
НТО б-р Генерала Карбышева, вл. 1; бульвар Генерала Карбышева, дом 1; Северо-Западный административный округ; район Хорошёво-Мнёвники; МК-СЕРВИС; 55.777225623745; 37.4679224360379
НТО Кастанаевская ул., вл. 16; Кастанаевская улица, дом 16, корпус 1; Западный административный округ; район Филёвский Парк; АЛФАВИТ; 55.7389272463803; 37.4925010203238
НТО Кастанаевская ул., вл.42; внутригородская территория муниципальный округ Фили-Давыдково, Кастанаевская улица, дом 42, корпус 2; Западный административный округ; район Фили-Давыдково; КАП; 55.7350166126898; 37.4756253115196
НТО Кастанаевская ул., вл.54; внутригородская территория муниципальный округ Фили-Давыдково, Кастанаевская улица, дом 54; Западный административный округ; район Фили-Давыдково; КАП; 55.7337746469062; 37.4684412074306
НТО Маршала Катукова ул., вл. 9, к. 1; внутригородская территория муниципальный округ Строгино, улица Маршала Катукова, дом 9, корпус 1; Северо-Западный административный округ; район Строгино; АРЕАЛ; 55.8112905684789; 37.4027780623911
НТО Каширское ш., вл. 26, корп.1; внутригородская территория муниципальный округ Москворечье-Сабурово, Каширское шоссе, дом 26, корпус 1; Южный административный округ; район Москворечье-Сабурово; АЛФАВИТ; 55.6536858210995; 37.6477652624624
НТО Каширское ш., вл. 28, корп.1 (ст.метро «Каширская»); внутригородская территория муниципальный округ Москворечье-Сабурово, Каширское шоссе, дом 28, корпус 1; Южный административный округ; район Москворечье-Сабурово; АРЕАЛ; 55.6542365921334; 37.6499663410801
НТО Каширское ш., вл. 53, корп. 1; внутригородская территория муниципальный округ Москворечье-Сабурово, Каширское шоссе, дом 53, корпус 1; Южный административный округ; район Москворечье-Сабурово; Амо-пресс; 55.6393888594538; 37.6908484998901
НТО Каширское ш., вл. 88дробь26; внутригородская территория муниципальный округ Орехово-Борисово Северное, Каширское шоссе, дом 88/26; Южный административный округ; район Орехово-Борисово Северное; Сейлс; 55.6186718492835; 37.7110215877437
НТО Каширское шоссе, вл. 142, к. 1; внутригородская территория муниципальный округ Орехово-Борисово Южное, Каширское шоссе, дом 142, корпус 1; Южный административный округ; район Орехово-Борисово Южное; КАП; 55.5974548339073; 37.7239715776208
НТО 2-я Квесисская ул., вл.9; внутригородская территория муниципальный округ Савеловский, 2-я Квесисская улица, дом 9; Северный административный округ; Савёловский район; Мультитранс; 55.7936201280628; 37.5792102620352
НТО Кибальчича, д.12к2; улица Кибальчича, дом 12, корпус 2; Северо-Восточный административный округ; Алексеевский район; АЛФАВИТ; 55.8156629016399; 37.6539314987542
НТО Кировоградская ул., вл.8; внутригородская территория муниципальный округ Чертаново Северное, Кировоградская улица, дом 8, корпус 1; Южный административный округ; район Чертаново Северное; ГКС; 55.6280258915298; 37.6110715832713
НТО Кировоградская ул., вл.28, корп.1; внутригородская территория муниципальный округ Чертаново Центральное, Кировоградская улица, дом 28, корпус 1; Южный административный округ; район Чертаново Центральное; ГКС; 55.6086758130514; 37.6018685818185
НТО Клязьминская ул., д.17; Клязьминская улица, дом 17; Северный административный округ; Дмитровский район; АЛФАВИТ; 55.890520860034; 37.5280990707053
НТО С.Ковалевской ул., д. 4а; улица Софьи Ковалевской, дом 4А; Северный административный округ; Дмитровский район; У Метро; 55.8803620660306; 37.5331675446647
НТО Кожуховская 5-я ул., д. 9; 5-я Кожуховская улица, дом 9; Юго-Восточный административный округ; Южнопортовый район; ГКС; 55.7053713190236; 37.6701476099061
НТО Кожуховская 6-я ул., д. 6; внутригородская территория муниципальный округ Южнопортовый, 6-я Кожуховская улица, дом 6; Юго-Восточный административный округ; Южнопортовый район; ИНВЕСТ ГРУПП; 55.7069170084748; 37.6703538995888
НТО Б.Златоустинский ул., вл.3дробь5; внутригородская территория муниципальный округ Басманный, Большой Златоустинский переулок, дом 3/5, строение 1; Центральный административный округ; Басманный район; МОДУЛЬ ОЙЛ; 55.7590375465194; 37.6321050018427
НТО Комсомольский просп., вл. 31; внутригородская территория муниципальный округ Хамовники, Комсомольский проспект, дом 31; Центральный административный округ; район Хамовники; У Метро; 55.7248056775285; 37.5797277730513
НТО Комсомольский просп., вл. 36; внутригородская территория муниципальный округ Хамовники, Комсомольский проспект, дом 36; Центральный административный округ; район Хамовники; У Метро; 55.7239055473006; 37.576855390551
НТО Большой Кондратьевский пер., вл.14 с.1; внутригородская территория муниципальный округ Пресненский, Большой Кондратьевский переулок, дом 14, строение 1; Центральный административный округ; Пресненский район; У Метро; 55.7739723977082; 37.5799109268476
НТО Коптевская, 8; внутригородская территория муниципальный округ Коптево, Коптевская улица, дом 8; Северный административный округ; район Коптево; Мультитранс; 55.827179; 37.517376
НТО Коптевская ул., вл. 34; Коптевская улица, дом 34; Северный административный округ; район Коптево; АЛФАВИТ; 55.8386378503633; 37.5230608349889
НТО Коптевский б-р.,вл.11; внутригородская территория муниципальный округ Коптево, Коптевский бульвар, дом 11; Северный административный округ; район Коптево; У Метро; 55.8310381645725; 37.5247671107869
НТО ул. Корнейчука, 38; улица Корнейчука, дом 38; Северо-Восточный административный округ; район Бибирево; АРЕАЛ; 55.8980514945593; 37.6275901151426
НТО Корнейчука ул., 46; улица Корнейчука, дом 46; Северо-Восточный административный округ; район Бибирево; КАП; 55.8956872171669; 37.6324321198975
НТО Коровинское ш., вл.5 корп.1; Коровинское шоссе, дом 5, корпус 1; Северный административный округ; район Западное Дегунино; АРЕАЛ; 55.8670214798549; 37.5403880450706
НТО Коровинское шоссе, вл. 9; Коровинское шоссе, дом 9, корпус 1; Северный административный округ; район Западное Дегунино; У Метро; 55.8688221009648; 37.5368125686233
НТО Коровинское ш, д. 16; Коровинское шоссе, дом 16; Северный административный округ; Дмитровский район; ПРЕСС-ТОРГ; 55.875038; 37.528425
НТО Коровинское шоссе, вл. 25дробь30; Коровинское шоссе, дом 25/30; Северный административный округ; район Западное Дегунино; У Метро; 55.8776831786251; 37.5230691751778
НТО Академика Королева ул., вл. 3; внутригородская территория муниципальный округ Останкинский, улица Академика Королёва, дом 3; Северо-Восточный административный округ; Останкинский район; АРЕАЛ; 55.8209695764342; 37.6307497129328
НТО Академика Королева, вл. 9, к. 1; внутригородская территория муниципальный округ Останкинский, улица Академика Королёва, дом 9, корпус 1; Северо-Восточный административный округ; Останкинский район; АРЕАЛ; 55.8206483381186; 37.6225100221402
НТО Косинская ул., вл.4, корп.1; Косинская улица, дом 4, корпус 1; Восточный административный округ; район Вешняки; Амо-пресс; 55.7278637588093; 37.8294753175313
НТО Б.Косинская ул., вл.24Д; внутригородская территория муниципальный округ Косино-Ухтомский, Большая Косинская улица, дом 24; Восточный административный округ; район Косино-Ухтомский; У Метро; 55.7145195511733; 37.8555042305351
НТО Зои и Александра Космодемьянских ул., 14дробь10; улица Зои и Александра Космодемьянских, дом 14/10; Северный административный округ; Войковский район; КАП; 55.8212382867079; 37.512353000561
НТО ул.Космонавтов, вл.24; улица Космонавтов, дом 24; Северо-Восточный административный округ; Алексеевский район; СТМ МАРКЕТ-ПЛЮС; 55.8207900000489; 37.6612755719064
НТО Костякова ул., вл. 15; улица Костякова, дом 15; Северный административный округ; Тимирязевский район; ПРЕССА СЕГОДНЯ; 55.8158047917042; 37.5691002233684
НТО Нахимовский проспект, вл. 42; внутригородская территория муниципальный округ Академический, Нахимовский проспект, дом 42; Юго-Западный административный округ; Академический район; СЕМЕЙНОЕ ЧТЕНИЕ; 55.6776068465767; 37.5648833781568
НТО Красная Пресня ул., вл. 29; внутригородская территория муниципальный округ Пресненский, улица Красная Пресня, дом 29; Центральный административный округ; Пресненский район; У Метро; 55.7624194194975; 37.564393739223
НТО Красноармейская ул, вл.6; внутригородская территория муниципальный округ Аэропорт, Красноармейская улица, дом 6, корпус 1; Северный административный округ; район Аэропорт; Московская периодика; 55.7977616286912; 37.548509293104
НТО Красноармейская ул., вл.24; Красноармейская улица, дом 24; Северный административный округ; район Аэропорт; АЛФАВИТ; 55.8009819530424; 37.5421751713097
НТО Краснодарская ул., вл. 27; внутригородская территория муниципальный округ Люблино, Краснодарская улица, дом 27/13; Юго-Восточный административный округ; район Люблино; АЛИМПИС; 55.6779059940644; 37.7541739886334
НТО Краснодарская ул., вл.51дробь12; Краснодарская улица, дом 51, корпус 2; Юго-Восточный административный округ; район Люблино; КАП; 55.6767922627048; 37.7631829765414
НТО ул. Краснодонская, вл. 4; внутригородская территория муниципальный округ Люблино, Краснодонская улица, дом 4; Юго-Восточный административный округ; район Люблино; АРЕАЛ; 55.680529; 37.74931
НТО Краснодонская ул., вл. 18дробь18; внутригородская территория муниципальный округ Люблино, Краснодонская улица, дом 18/18; Юго-Восточный административный округ; район Люблино; АРЕАЛ; 55.6772576468647; 37.7486726167716
НТО Красноказарменная ул. 10; внутригородская территория муниципальный округ Лефортово, Красноказарменная улица, дом 10; Юго-Восточный административный округ; район Лефортово; ПРЕСС-ТОРГ; 55.7571986599753; 37.6987169186313
НТО Красного Маяка ул., вл. 2; внутригородская территория муниципальный округ Чертаново Центральное, улица Красного Маяка, дом 2; Южный административный округ; район Чертаново Центральное; У Метро; 55.6115202545218; 37.6015362640098
НТО Красного Маяка ул., вл. 4, корп. 1; улица Красного Маяка, дом 4, корпус 1; Южный административный округ; район Чертаново Центральное; АЛФАВИТ; 55.6120360117453; 37.5982213427472
НТО Кржижановского ул., вл. 17-19; внутригородская территория муниципальный округ Академический, улица Кржижановского, дом 17, корпус 2; Юго-Западный административный округ; Академический район; АРЕАЛ; 55.6790154153603; 37.5741890743399
НТО Кржижановского ул., вл.18; внутригородская территория муниципальный округ Академический, улица Кржижановского, дом 18, корпус 1; Юго-Западный административный округ; Академический район; КАП; 55.6795817129061; 37.5708340897966
НТО Крутицкий 3-й пер., д. 13; внутригородская территория муниципальный округ Южнопортовый, 3-й Крутицкий переулок, дом 13; Юго-Восточный административный округ; Южнопортовый район; ЛОТЕРЕИ МОСКВЫ; 55.731268; 37.66462
НТО ул. Кулакова, вл. 10; внутригородская территория муниципальный округ Строгино, улица Кулакова, дом 10; Северо-Западный административный округ; район Строгино; Мультитранс; 55.8113277704796; 37.3976020062322
НТО Кустанайская ул., вл.3, корп. 1; внутригородская территория муниципальный округ Зябликово, Кустанайская улица, дом 3, корпус 1; Южный административный округ; район Зябликово; КАП; 55.6196485906582; 37.7535176324273
НТО Кустанайская ул., вл.14; внутригородская территория муниципальный округ Зябликово, Кустанайская улица, дом 14, корпус 1; Южный административный округ; район Зябликово; КАП; 55.6171730877892; 37.7528193466504
НТО Кутузовский пр., вл.43; внутригородская территория муниципальный округ Дорогомилово, Кутузовский проспект, дом 43; Западный административный округ; район Дорогомилово; У Метро; 55.737616927716; 37.527708492515
НТО ул. Куусинена, вл. 1; улица Куусинена, дом 1; Северный административный округ; Хорошёвский район; ГКС; 55.7780166872161; 37.5167481553443
НТО Куусинена ул., вл. 2; внутригородская территория муниципальный округ Хорошевский, улица Куусинена, дом 2, корпус 1; Северный административный округ; Хорошёвский район; КАП; 55.776968751397; 37.5185225905453
НТО ул. Куусинена, вл. 6, корп. 3; улица Куусинена, дом 6, корпус 3; Северный административный округ; Хорошёвский район; У Метро; 55.7809089914344; 37.5158252495824
НТО ул. Куусинена, вл. 7; улица Куусинена, дом 7, корпус 1; Северный административный округ; Хорошёвский район; Азбука; 55.781034; 37.515307
НТО Лебедянская ул., вл. 24; внутригородская территория муниципальный округ Бирюлево Восточное, Лебедянская улица, дом 24, корпус 1; Южный административный округ; район Бирюлёво Восточное; АРЕАЛ; 55.5855633346513; 37.6885883139661
НТО Ленинградский пр-т, вл. 1; Ленинградский проспект, дом 1; Северный административный округ; район Беговой; АРЕАЛ; 55.7777234652634; 37.5811625553993
НТО Ленинградский пр-т, вл. 2; внутригородская территория муниципальный округ Беговой, Ленинградский проспект, дом 2; Северный административный округ; район Беговой; АРЕАЛ; 55.7785149349549; 37.5821151812972
НТО Ленинградский просп. 58; внутригородская территория муниципальный округ Аэропорт, Ленинградский проспект, дом 58; Северный административный округ; район Аэропорт; АЛФАВИТ; 55.7989279564638; 37.5371828608603
НТО Ленинградский пр-т, д.71 к. Г; Ленинградский проспект, дом 71, корпус Г; Северный административный округ; район Сокол; У Метро; 55.8043889976844; 37.5150041322376
НТО Ленинградский пр-т, д. 75, корп. 1А; Ленинградский проспект, дом 75, корпус 1А; Северный административный округ; район Сокол; Сейлс; 55.8037484900178; 37.5131234122606
НТО Ленинградское шоссе 9; Ленинградское шоссе, дом 9, корпус 1; Северный административный округ; Войковский район; АЛФАВИТ; 55.817539; 37.49811
НТО Ленинградское ш., 13; Ленинградское шоссе, дом 13, корпус 1; Северный административный округ; Войковский район; У Метро; 55.819576; 37.496703
НТО Ленинградское ш., д. 52; внутригородская территория муниципальный округ Войковский, Ленинградское шоссе, дом 52; Северный административный округ; Войковский район; Амо-пресс; 55.8360834900185; 37.4843749682984
НТО Ленинский проспект, вл.34; внутригородская территория муниципальный округ Гагаринский, Ленинский проспект, дом 34/1; Юго-Западный административный округ; Гагаринский район; У Метро; 55.7070123498658; 37.5782909495647
НТО Ленинский проспект, вл.40; внутригородская территория муниципальный округ Гагаринский, Ленинский проспект, дом 40; Юго-Западный административный округ; Гагаринский район; У Метро; 55.7023936247078; 37.5693885717996
НТО Ленинский проспект, вл.41; внутригородская территория муниципальный округ Гагаринский, Ленинский проспект, дом 41/2; Юго-Западный административный округ; Гагаринский район; У Метро; 55.7066798274046; 37.5789845324431
НТО Ломоносовский проспект, вл. 10дробь68; внутригородская территория муниципальный округ Гагаринский, Ленинский проспект, дом 68/10; Юго-Западный административный округ; Гагаринский район; У Метро; 55.6896988275362; 37.5442189326326
НТО Ленинский проспект, вл.73; внутригородская территория муниципальный округ Гагаринский, Ленинский проспект, дом 73/8; Юго-Западный административный округ; Гагаринский район; У Метро; 55.6880263611839; 37.5463634660136
НТО Ленинский проспект, вл. 82; внутригородская территория муниципальный округ Ломоносовский, Ленинский проспект, дом 82/2; Юго-Западный административный округ; Ломоносовский район; АРЕАЛ; 55.6803382089266; 37.5329135809247
НТО Ленинский проспект, вл. 95дробь3; внутригородская территория муниципальный округ Ломоносовский, Ленинский проспект, дом 95, корпус 3; Юго-Западный административный округ; Ломоносовский район; ГКС; 55.6727059266557; 37.526639923532
НТО Ленинский проспект, вл.135 корп.1; внутригородская территория муниципальный округ Теплый Стан, Ленинский проспект, дом 135, корпус 1; Юго-Западный административный округ; район Тёплый Стан; У Метро; 55.6433474197932; 37.4746367645777
НТО Лескова ул., 4; внутригородская территория муниципальный округ Бибирево, улица Лескова, дом 6; Северо-Восточный административный округ; район Бибирево; АРЕАЛ; 55.8978624716779; 37.5916360585546
НТО ул. Лескова, вл. 8; улица Лескова, дом 8; Северо-Восточный административный округ; район Бибирево; У Метро; 55.8978207349017; 37.5968169263169
НТО Липецкая ул., вл. 14; внутригородская территория муниципальный округ Бирюлево Восточное, Липецкая улица, дом 14, корпус 1; Южный административный округ; район Бирюлёво Восточное; Антарес; 55.5972019658873; 37.6712182166041
НТО Липецкая ул., вл. 40; внутригородская территория муниципальный округ Бирюлево Восточное, Липецкая улица, дом 40; Южный административный округ; район Бирюлёво Восточное; ИНВЕСТ ГРУПП; 55.584029621356; 37.6790974385084
НТО Литовский б-р, вл.18; Литовский бульвар, дом 18; Юго-Западный административный округ; район Ясенево; Антарес; 55.613248817445; 37.5338208992795
НТО Литовский бульвар, д.19; внутригородская территория муниципальный округ Ясенево, Литовский бульвар, дом 19; Юго-Западный административный округ; район Ясенево; АЛФАВИТ; 55.6057490735514; 37.5439226761896
НТО Лобненская ул. д. 6; Лобненская улица, дом 6; Северный административный округ; Дмитровский район; АЛФАВИТ; 55.8888039127774; 37.5392850809341
НТО Локомотивный пр., вл. 28; Локомотивный проезд, дом 3; Северный административный округ; Тимирязевский район; ЮРКОНСАЛТИНГ; 55.848075; 37.572872
НТО Ломоносовский проспект, вл.15; внутригородская территория муниципальный округ Гагаринский, Ломоносовский проспект, дом 15; Юго-Западный административный округ; Гагаринский район; У Метро; 55.6892978902844; 37.5421260750946
НТО Ломоносовский пр-т, д.34; внутригородская территория муниципальный округ Раменки, Ломоносовский проспект, дом 34; Западный административный округ; район Раменки; У Метро; 55.7081762520925; 37.5108706478546
НТО Пл.Индиры Ганди; внутригородская территория муниципальный округ Раменки, Ломоносовский проспект, дом 34; Западный административный округ; район Раменки; МАКС ТНП; 55.707039; 37.513043
НТО Люблинская ул., вл. 7дробь2, к. 1; внутригородская территория муниципальный округ Текстильщики, Люблинская улица, дом 7/2, корпус 1; Юго-Восточный административный округ; район Текстильщики; АЛИМПИС; 55.7124869224773; 37.7303680409976
НТО Люблинская, д. 31дробь1; внутригородская территория муниципальный округ Текстильщики, Люблинская улица, дом 31/1; Юго-Восточный административный округ; район Текстильщики; АРЕАЛ; 55.699441; 37.733841
НТО Люсиновская ул, 2-4; внутригородская территория муниципальный округ Замоскворечье, Люсиновская улица, дом 2, строение 1; Центральный административный округ; район Замоскворечье; У Метро; 55.7282764218144; 37.6227865915331
НТО Малахитовая ул., вл. 17; внутригородская территория муниципальный округ Ростокино, Малахитовая улица, дом 17; Северо-Восточный административный округ; район Ростокино; АРИСТЕЙ; 55.8304837572496; 37.6645463317629
НТО Маршала Малиновского, вл.6 корп.2; внутригородская территория муниципальный округ Щукино, улица Маршала Малиновского, дом 6, корпус 2; Северо-Западный административный округ; район Щукино; МК-СЕРВИС; 55.7916110929301; 37.4928502938273
НТО Малыгина ул., д. 5, к. 1; внутригородская территория муниципальный округ Лосиноостровский, улица Малыгина, дом 5, корпус 1; Северо-Восточный административный округ; Лосиноостровский район; У Метро; 55.8801204442248; 37.6960323012342
НТО ул.Малыгина,9; улица Малыгина, дом 9; Северо-Восточный административный округ; Лосиноостровский район; У Метро; 55.8810783632265; 37.6941176331962
НТО Мастеркова ул., вл. 3; внутригородская территория муниципальный округ Даниловский, улица Мастеркова, дом 3; Южный административный округ; Даниловский район; ГКС; 55.7083371743353; 37.6584283310854
НТО Матвеевская ул., вл.10; внутригородская территория муниципальный округ Очаково-Матвеевское, Матвеевская улица, дом 10, корпус 2; Западный административный округ; район Очаково-Матвеевское; АРЕАЛ; 55.7029497385884; 37.4727557841244
НТО Матвеевская ул., вл.26; внутригородская территория муниципальный округ Очаково-Матвеевское, Матвеевская улица, дом 26; Западный административный округ; район Очаково-Матвеевское; АРЕАЛ; 55.7027164545468; 37.4638172545706
НТО Медиков ул., вл.20; внутригородская территория муниципальный округ Царицыно, улица Медиков, дом 20; Южный административный округ; район Царицыно; СТМ МАРКЕТ-ПЛЮС; 55.6331281818239; 37.6790608708489
НТО Медынская ул., вл.2, корп. 1; внутригородская территория муниципальный округ Бирюлево Западное, Медынская улица, дом 2, корпус 1; Южный административный округ; район Бирюлёво Западное; ГКС; 55.5921986332817; 37.6512836010699
НТО Медынская ул., вл.2; внутригородская территория муниципальный округ Бирюлево Западное, Медынская улица, дом 2, корпус 1; Южный административный округ; район Бирюлёво Западное; У Метро; 55.5912535681604; 37.6466851575032
НТО Медынская ул., вл.12, корп.1; внутригородская территория муниципальный округ Бирюлево Западное, Медынская улица, дом 12, корпус 1; Южный административный округ; район Бирюлёво Западное; ЛОГОС-М2; 55.586666837965; 37.645716702881
НТО ул. Менжинского, вл. 25; улица Менжинского, дом 25; Северо-Восточный административный округ; Бабушкинский район; АЛФАВИТ; 55.8699850172778; 37.6582700372116
НТО Металлургов ул., вл.22А; внутригородская территория муниципальный округ Перово, улица Металлургов, дом 22/22; Восточный административный округ; район Перово; Мультитранс; 55.7583862953839; 37.7875794410674
НТО Металлургов ул., вл.25; внутригородская территория муниципальный округ Перово, улица Металлургов, дом 25; Восточный административный округ; район Перово; У Метро; 55.7591466466283; 37.7904719486989
НТО Миклухо-Маклая ул., вл.32-1; внутригородская территория муниципальный округ Коньково, улица Миклухо-Маклая, дом 32, корпус 1; Юго-Западный административный округ; район Коньково; Антарес; 55.6419323126626; 37.5279340441145
НТО Миклухо-Маклая ул., вл.39; внутригородская территория муниципальный округ Коньково, улица Миклухо-Маклая, дом 39, корпус 1; Юго-Западный административный округ; район Коньково; Антарес; 55.6446752133843; 37.5217838408986
НТО Миклухо-Маклая ул., вл.55; улица Миклухо-Маклая, дом 55; Юго-Западный административный округ; район Коньково; Антарес; 55.6406109274025; 37.5342497981124
НТО Академика Миллионщикова ул., вл. 13, корп. 1; внутригородская территория муниципальный округ Нагатино-Садовники, улица Академика Миллионщикова, дом 13, корпус 1; Южный административный округ; район Нагатино-Садовники; ГКС; 55.6702211049548; 37.6493710263126
НТО Минская ул., д. 9Г; внутригородская территория муниципальный округ Фили-Давыдково, Минская улица, дом 9; Западный административный округ; район Фили-Давыдково; АЛФАВИТ; 55.738522902179; 37.4834717770702
НТО ул.Минусинская, вл.8; Минусинская улица, дом 8; Северо-Восточный административный округ; Лосиноостровский район; ПРЕССА СЕГОДНЯ; 55.8733406370464; 37.6929719843314
НТО Проспект Мира, вл. 51; внутригородская территория муниципальный округ Мещанский, проспект Мира, дом 51, строение 1; Центральный административный округ; Мещанский район; АЛФАВИТ; 55.7838599330477; 37.6342846888551
НТО проспект Мира, д. 91, корп. 3; внутригородская территория муниципальный округ Останкинский, проспект Мира, дом 91, корпус 3; Северо-Восточный административный округ; Останкинский район; АЛИМПИС; 55.8065181104445; 37.6359510021269
